"","name","country.etc","pop","lat","long","capital"
"10055","Dymes","CYP",173,34.92,32.98,0
"10056","Dymytrov","UKR",51924,48.27,37.28,0
"10057","Dymytrove","UKR",5361,48.61,32.99,0
"10058","Dysina","CZE",1475,49.78,13.48,0
"10059","Dyurtyuli","RUS",31475,55.49,54.88,0
"10060","Dzahani","COM",530,-11.66,43.28,0
"10061","Dzaoudzi","MYT",14558,-12.77,45.25,1
"10062","Dzebel","BGR",3060,41.46,25.29,0
"10063","Dzepciste","MKD",8248,42.04,21,0
"10064","Dzerzhinsk","BLR",24629,53.69,27.14,0
"10065","Dzerzhinsk","RUS",254966,56.24,43.46,0
"10066","Dzerzhinsk","UKR",41379,48.4,37.83,0
"10067","Dzerzhinskiy","RUS",41045,55.63,37.84,0
"10068","Dzerzhyns'k","UKR",7883,50.15,27.93,0
"10069","Dzerzhyns'kyy","UKR",8318,48.03,39.43,0
"10070","Dzhalil","RUS",14812,55.02,52.74,0
"10071","Dzhangala","KAZ",5973,49.22,50.33,0
"10072","Dzhankoy","UKR",41353,45.72,34.41,0
"10073","Dzhanybek","KAZ",8239,49.42,46.85,0
"10074","Dzhusaly","KAZ",20246,45.5,64.09,0
"10075","Dzialdowo","POL",21252,53.23,20.18,0
"10076","Dziani","COM",1820,-12.18,44.48,0
"10077","Dzidzantun","MEX",8398,21.25,-89.05,0
"10078","Dzierzoniow","POL",34724,50.73,16.65,0
"10079","Dzitankov","ARM",1156,40.52,43.81,0
"10080","Dzitbalche","MEX",11062,20.32,-90.05,0
"10081","Dzoraghbyur","ARM",2002,40.21,44.64,0
"10082","Dzoragyukh","ARM",3554,40.18,45.18,0
"10083","Dzoratan","ARM",1030,39.27,46.36,0
"10084","Eagan","USA",64393,44.82,-93.16,0
"10085","Eaglescliffe","GBR",18830,54.53,-1.35,0
"10086","Easington","JAM",2645,17.92,-76.6,0
"10087","East Angus","CAN",3647,45.48,-71.67,0
"10088","East Broughton","CAN",2414,46.22,-71.08,0
"10089","East Brunswick","USA",48799,40.43,-74.42,0
"10090","East Dereham","GBR",18259,52.68,0.93,0
"10091","East End","AIA",634,18.23,-63,0
"10092","East End","CYM",1506,19.3,-81.12,0
"10093","East Grinstead","GBR",26560,51.13,-0.02,0
"10094","East Hartford","USA",50209,41.76,-72.62,0
"10095","East Kilbride","GBR",74543,55.77,-4.18,0
"10096","East Lake","USA",47720,27.98,-82.38,0
"10097","East Lansing","USA",48618,42.74,-84.48,0
"10098","East London","ZAF",421916,-32.97,27.87,0
"10099","East Los Angeles","USA",125121,34.03,-118.17,0
"10100","East Opua","NZL",363,-35.32,174.12,0
"10101","East Orange","USA",68064,40.77,-74.21,0
"10102","East Providence","USA",50750,41.8,-71.36,0
"10103","East Retford","GBR",22024,53.32,-0.95,0
"10104","Eastbourne","GBR",114477,50.78,0.27,0
"10105","Eastleigh","GBR",54552,50.97,-1.35,0
"10106","Eaton Socon","GBR",12771,52.22,-0.29,0
"10107","Eau Claire","USA",63049,44.82,-91.49,0
"10108","Eaubonne","FRA",24280,49,2.27,0
"10109","Eauripik",NA,115,6.69,143.08,0
"10110","Ebadon","MHL",135,9.33,166.83,0
"10111","Ebano","MEX",21056,22.22,-98.37,0
"10112","Ebavere","EST",155,59.12,26.24,0
"10113","Ebbs","AUT",5138,47.63,12.22,0
"10114","Ebbw Vale","GBR",18293,51.79,-3.25,0
"10115","Ebebiyin","GNQ",26468,2.15,11.33,0
"10116","Ebejico","COL",2616,6.33,-75.77,0
"10117","Ebeltoft","DNK",5979,56.2,10.68,0
"10118","Ebensee","AUT",8350,47.8,13.76,0
"10119","Ebenthal","AUT",7914,46.61,14.34,0
"10120","Eberbach","DEU",15639,49.48,8.99,0
"10121","Eberndorf","AUT",6100,46.59,14.63,0
"10122","Ebersbach","DEU",15887,48.73,9.53,0
"10123","Eberswalde","DEU",41511,52.84,13.8,0
"10124","Ebes","HUN",4459,47.48,21.5,0
"10125","Ebetsu","JPN",136159,43.12,141.55,0
"10126","Ebeye","MHL",9891,8.77,167.73,0
"10127","Ebikon","CHE",11511,47.09,8.34,0
"10128","Ebina","JPN",124920,35.47,139.42,0
"10129","Ebino","JPN",23679,32.05,130.84,0
"10130","Ebnat-Kappel","CHE",4823,47.25,9.11,0
"10131","Eboli","ITA",37370,40.63,15.01,0
